Team: 
 ,  , Percentage of 3 points , Percentage of field goals , Losses , Rebounds , Wins , 
 , Bulls ,  ,  , 8 , 47 , 14 , 
 , Trail Blazers , 50 , 49 , 6 , 37 , 17 , 
 Player: 
 ,  , Assists , Field goals attempted , Field goals made , Points , Total rebounds , 
 , Taj Gibson ,  ,  ,  , 10 , 12 , 
 , Pau Gasol ,  ,  ,  , 13 , 10 , 
 , Nikola Mitotic ,  ,  ,  , 15 , 9 , 
 , Derrick Rose , 5 , 24 , 14 , 31 , 3 , 
 , Aaron Brooks ,  ,  ,  , 17 ,  , 
 , LaMarcus Aldridge ,  , 12 , 10 , 21 , 9 , 
 , Damian Lillard ,  ,  ,  , 35 ,  , 
 , Pau Gasol ,  ,  ,  , 13 , 10 , 
 , Aaron Brooks ,  ,  ,  , 17 ,  ,
