Team: 
 ,  , Percentage of field goals , Losses , Total points , Points in 1st quarter , Turnovers , Wins , 
 , Cavaliers , 52 , 20 , 106 , 31 ,  , 23 , 
 , Jazz , 42 , 28 , 92 , 20 , 20 , 14 , 
 Player: 
 ,  , Assists , Defensive rebounds , 3-pointers attempted , 3-pointers made , Field goals attempted , Field goals made , Free throws attempted , Free throws made , Minutes played , Offensive rebounds , Personal fouls , Points , Total rebounds , Steals , Turnovers , 
 , Gordon Hayward ,  ,  , 4 , 2 , 11 , 4 , 4 , 4 ,  ,  ,  , 14 , 5 ,  ,  , 
 , Enes Kanter ,  ,  ,  ,  , 20 , 9 , 8 , 6 ,  ,  ,  , 24 , 17 ,  ,  , 
 , Elliot Williams ,  ,  , 3 , 3 , 4 , 3 , 2 , 1 ,  ,  ,  , 10 ,  ,  ,  , 
 , Elijah Millsap ,  ,  , 5 , 2 , 9 , 4 , 2 , 2 ,  ,  ,  , 12 ,  ,  ,  , 
 , LeBron James , 9 , 1 , 2 , 0 , 16 , 8 , 14 , 10 ,  , 1 , 1 , 26 , 7 , 1 , 1 , 
 , Kevin Love ,  ,  , 7 , 1 , 15 , 7 , 4 , 4 ,  ,  ,  , 19 , 13 , 2 ,  , 
 , Timofey Mozgov ,  ,  ,  ,  ,  ,  ,  ,  , 40 ,  ,  , 16 , 11 ,  ,  , 
 , JR Smith ,  ,  , 11 , 2 , 16 , 5 , 4 , 3 ,  ,  ,  , 15 ,  ,  ,  , 
 , Kyrie Irving ,  ,  , 3 , 2 , 13 , 8 , 1 , 0 ,  ,  ,  , 18 ,  ,  ,  , 
 , Timofey Mozgov ,  ,  ,  ,  ,  ,  ,  ,  , 40 ,  ,  , 16 , 11 ,  ,  ,
