Team: 
 ,  , Percentage of field goals , Losses , Total points , Turnovers , Wins , 
 , Nets , 55 , 4 , 119 ,  , 3 , 
 , Timberwolves ,  , 5 , 110 , 20 , 1 , 
 Player: 
 ,  , Assists , Blocks , Field goals attempted , Field goals made , Minutes played , Points , Total rebounds , Steals , 
 , Andrew Wiggins , 2 ,  , 29 ,  ,  , 36 , 8 , 1 , 
 , Karl-Anthony Towns , 4 , 1 ,  ,  ,  , 21 , 7 ,  , 
 , Zach LaVine , 1 ,  ,  ,  ,  , 17 , 2 ,  , 
 , Kris Dunn , 2 ,  ,  ,  , 16 ,  , 3 , 1 , 
 , Tyus Jones , 7 ,  ,  ,  , 32 , 12 , 5 , 5 , 
 , Bojan Bogdanovic , 2 ,  ,  ,  ,  , 13 , 1 , 1 , 
 , Trevor Booker , 1 , 1 ,  ,  ,  , 15 , 9 , 3 , 
 , Rondae Hollis-Jefferson , 2 ,  ,  ,  ,  , 13 , 4 ,  , 
 , Brook Lopez , 1 , 3 ,  ,  ,  , 26 , 3 ,  , 
 , Sean Kilpatrick , 3 ,  ,  ,  ,  , 14 , 5 , 1 ,
