Team: 
 ,  , Losses , Total points , Wins , 
 , Spurs , 6 , 101 , 27 , 
 , Timberwolves , 20 , 95 , 11 , 
 Player: 
 ,  , Assists , Field goals attempted , Field goals made , Minutes played , Points , Total rebounds , Turnovers , 
 , Andrew Wiggins ,  ,  ,  , 37 , 18 , 6 ,  , 
 , Karl-Anthony Towns ,  ,  ,  , 31 , 10 , 12 ,  , 
 , Ricky Rubio , 14 , 9 , 2 ,  , 7 ,  , 1 , 
 , Zach LaVine ,  ,  ,  , 25 , 15 ,  ,  , 
 , Kawhi Leonard ,  ,  ,  , 37 , 17 , 11 ,  , 
 , Manu Ginobili ,  ,  ,  ,  , 13 ,  ,  , 
 , David West ,  ,  ,  ,  , 11 ,  ,  , 
 , Patty Mills ,  ,  ,  ,  , 11 ,  ,  , 
 , Tony Parker ,  ,  ,  ,  , 12 ,  ,  , 
 , Boba Marjanovic ,  , 7 , 7 , 15 , 17 ,  ,  ,
