Team: 
 ,  , Percentage of field goals , Turnovers , 
 , Suns , 39 , 21 , 
 Player: 
 ,  , Assists , Points , Total rebounds , Steals , 
 , Trevor Ariza ,  , 9 ,  ,  , 
 , Clint Capela ,  , 9 ,  ,  , 
 , Ryan Anderson ,  , 16 ,  ,  , 
 , Patrick Beverley ,  , 19 , 10 ,  , 
 , James Harden , 8 , 40 , 6 ,  , 
 , Sam Dekker ,  , 14 ,  ,  , 
 , Alex Len ,  , 13 , 8 ,  , 
 , TJ Warren ,  , 14 , 5 , 3 , 
 , Devin Booker ,  , 18 ,  ,  , 
 , Tyler Ulis ,  , 13 ,  ,  , 
 , Leandro Barbosa ,  , 12 ,  ,  , 
 , Jared Dudley ,  , 12 ,  ,  ,
