Team: 
 ,  , Losses , Total points , Wins , 
 , Grizzlies , 18 , 91 , 20 , 
 , Nuggets , 24 , 84 , 13 , 
 Player: 
 ,  , Assists , Blocks , Defensive rebounds , 3-pointers attempted , 3-pointers made , Minutes played , Offensive rebounds , Personal fouls , Points , Total rebounds , Steals , Turnovers , 
 , Danilo Gallinari ,  ,  ,  ,  ,  ,  ,  ,  , 29 ,  ,  ,  , 
 , Gary Harris , 1 ,  ,  ,  ,  ,  ,  ,  , 11 , 5 , 1 ,  , 
 , Darrell Arthur , 2 , 2 ,  ,  ,  ,  ,  ,  , 12 , 9 ,  ,  , 
 , Jusuf Nurkic ,  , 1 ,  ,  ,  , 18 ,  ,  , 6 , 6 ,  ,  , 
 , Jeff Green , 2 ,  ,  ,  ,  ,  ,  ,  , 16 , 9 , 1 ,  , 
 , Marc Gasol , 3 ,  ,  ,  ,  ,  ,  ,  , 12 , 4 , 5 ,  , 
 , Matt Barnes , 3 , 1 ,  ,  ,  ,  ,  ,  , 15 , 7 ,  ,  , 
 , Tony Allen , 1 , 1 ,  ,  ,  ,  ,  ,  , 10 , 9 , 3 ,  , 
 , Mario Chalmers , 4 ,  ,  ,  ,  ,  ,  ,  , 12 , 6 ,  ,  , 
 , Courtney Lee ,  ,  , 2 , 2 ,  ,  ,  ,  , 10 , 9 , 3 ,  , 
 , Tony Allen , 1 , 1 ,  ,  ,  ,  ,  ,  , 10 , 9 , 3 ,  ,
