Team: 
 ,  , Percentage of 3 points , Percentage of field goals , Losses , Total points , Points in 1st quarter , Turnovers , Wins , 
 , Nets ,  ,  , 56 , 126 , 32 ,  , 15 , 
 , Suns , 29 , 37 , 50 , 98 , 22 , 19 , 22 , 
 Player: 
 ,  , Assists , Blocks , Minutes played , Points , Total rebounds , Steals , 
 , Marquese Chriss ,  , 1 ,  , 23 , 11 , 2 , 
 , Alex Len , 1 , 2 ,  , 11 , 11 , 2 , 
 , Tyler Ulis , 12 ,  ,  , 10 ,  , 2 , 
 , Leandro Barbosa , 1 ,  ,  , 11 , 6 , 1 , 
 , Trevor Booker , 1 ,  ,  , 14 , 8 ,  , 
 , Brook Lopez ,  , 1 ,  , 19 , 6 ,  , 
 , Jeremy Lin , 5 ,  ,  , 13 , 3 ,  , 
 , Rondae Hollis-Jefferson , 2 , 1 ,  , 5 , 16 , 2 , 
 , Justin Hamilton ,  ,  ,  , 10 , 1 ,  , 
 , Isaiah Whitehead , 3 , 1 , 28 , 11 , 4 , 2 , 
 , Quincy Acy ,  ,  ,  , 12 ,  ,  , 
 , KJ McDaniels , 1 , 1 ,  , 16 , 8 , 2 ,
