Team: 
 ,  , Percentage of 3 points , Percentage of field goals , Losses , Total points , Wins , 
 , Cavaliers , 50 , 55 , 16 , 125 , 37 , 
 , Nuggets , 34 , 40 , 30 , 109 , 24 , 
 Player: 
 ,  , Assists , Blocks , Points , Total rebounds , Steals , 
 , Wilson Chandler , 1 ,  , 13 , 6 ,  , 
 , Nikola Jokic , 4 , 2 , 27 , 13 ,  , 
 , Gary Harris ,  , 1 , 16 , 3 , 1 , 
 , Jameer Nelson , 8 ,  , 12 , 8 , 2 , 
 , Will Barton , 4 ,  , 12 , 3 , 1 , 
 , LeBron James , 12 ,  , 27 , 5 , 2 , 
 , Kevin Love , 5 , 1 , 16 , 9 ,  , 
 , Tristan Thompson , 1 , 1 , 13 , 13 , 1 , 
 , Kyrie Irving , 5 , 1 , 27 , 4 , 1 , 
 , Kyle Korver , 1 ,  , 14 , 5 , 1 ,
