Team: 
 ,  , Losses , Total points , Wins , 
 , Magic , 19 , 103 , 20 , 
 , Raptors , 15 , 106 , 25 , 
 Player: 
 ,  , Assists , Blocks , 3-pointers attempted , 3-pointers made , Field goals attempted , Field goals made , Free throws attempted , Free throws made , Minutes played , Offensive rebounds , Personal fouls , Points , Total rebounds , Steals , Turnovers , 
 , Jonas Valanciunas , 2 , 3 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 11 , 9 , 1 , 2 , 
 , DeMar DeRozan ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 13 , 11 ,  ,  , 
 , Kyle Lowry , 7 , 1 , 2 , 2 ,  ,  , 14 , 12 ,  , 2 , 2 , 24 , 8 , 1 , 2 , 
 , Luis Scola ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 11 , 2 , 3 ,  , 
 , Bismack Biyombo ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 11 ,  ,  ,  , 
 , Patrick Patterson ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 11 ,  ,  ,  , 
 , Cory Joseph , 4 ,  ,  ,  ,  ,  ,  , 36 ,  ,  , 19 , 3 , 2 ,  ,  , 
 , Evan Fournier , 3 , 3 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 21 , 3 , 1 ,  , 
 , Victor Oladipo , 6 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 27 , 6 , 2 ,  , 
 , Jason Smith , 4 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 16 , 5 ,  , 
 , Tobias Harris , 3 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 16 ,  , 1 ,  , 
 , Evan Fournier , 3 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 21 , 3 , 1 ,  ,
