Team: 
 ,  , Points in 4th quarter , Turnovers , 
 , Bulls , 14 , 16 , 
 , Magic , 22 ,  , 
 Player: 
 ,  , Assists , Minutes played , Points , Total rebounds , Steals , 
 , Terrence Ross ,  ,  , 14 ,  ,  , 
 , Evan Fournier ,  ,  , 20 , 9 ,  , 
 , Aaron Gordon ,  ,  , 13 ,  ,  , 
 ,rid Payton , 14 ,  , 22 , 14 ,  , 
 , Jeff Green , 2 ,  , 9 , 5 , 1 , 
 , Jimmy Butler , 9 ,  , 21 ,  ,  , 
 , Jerian Grant ,  ,  , 13 ,  ,  , 
 , Robin Lopez ,  ,  , 10 , 9 ,  , 
 , Rajon Rondo ,  , 28 , 8 ,  ,  , 
 , Cristiano Felicio ,  ,  , 11 ,  ,  ,
