Team: 
 ,  , Losses , Total points , Rebounds , Wins , 
 , Mavericks , 14 , 98 , 30 , 30 , 
 , Bulls , 16 , 102 , 47 , 29 , 
 Player: 
 ,  , Assists , Blocks , 3-pointers made , Field goals attempted , Field goals made , Free throws attempted , Free throws made , Minutes played , Offensive rebounds , Personal fouls , Points , Total rebounds , Steals , Turnovers , 
 , Pau Gasol ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 13 , 16 ,  ,  , 
 , Jimmy Butler , 6 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 20 , 8 , 3 ,  , 
 , Joakim Noah ,  ,  ,  , 4 ,  ,  , 4 , 23 , 4 , 4 , 6 , 7 ,  ,  , 
 , Derrick Rose ,  ,  ,  ,  ,  ,  ,  ,  ,  , 10 ,  ,  ,  ,  , 
 , Tony Snell ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 10 ,  ,  ,  , 
 , Joakim Noah ,  ,  ,  ,  ,  , 4 ,  , 23 ,  , 4 , 6 , 7 ,  ,  , 
 , Derrick Rose ,  ,  ,  ,  ,  ,  ,  ,  ,  , 10 ,  ,  ,  ,  , 
 , Taj Gibson ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
 , Dirk Nowitzki ,  , 1 ,  , 15 , 10 ,  ,  ,  ,  ,  , 24 , 7 ,  ,  , 
 , Monta Ellis ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 17 ,  ,  , 
 , Rajon Rondo , 4 ,  ,  ,  ,  ,  ,  , 27 ,  ,  , 6 ,  ,  ,  ,
